Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,0.218,0.191,0.207,0.197,0.189,0.196,0.19,0.187,0.174,0.199,0.195,0.188
1,0.191,0.171,0.186,0.181,0.181,0.189,0.184,0.187,0.172,0.198,0.19,0.19
2,0.169,0.155,0.165,0.161,0.172,0.186,0.184,0.186,0.17,0.197,0.192,0.191
3,0.155,0.145,0.143,0.144,0.16,0.179,0.18,0.186,0.165,0.194,0.193,0.193
4,0.148,0.138,0.127,0.129,0.149,0.174,0.179,0.185,0.164,0.192,0.19,0.19
5,0.148,0.134,0.114,0.114,0.138,0.168,0.177,0.183,0.165,0.191,0.189,0.191
6,0.151,0.133,0.103,0.1,0.124,0.161,0.174,0.182,0.164,0.192,0.19,0.191
7,0.155,0.133,0.096,0.088,0.111,0.155,0.171,0.181,0.163,0.19,0.189,0.193
8,0.157,0.133,0.092,0.079,0.098,0.147,0.17,0.18,0.162,0.19,0.189,0.194
9,0.16,0.133,0.09,0.073,0.085,0.137,0.167,0.179,0.162,0.189,0.188,0.194
10,0.163,0.133,0.089,0.069,0.076,0.128,0.165,0.178,0.161,0.19,0.188,0.194
11,0.164,0.134,0.088,0.067,0.069,0.116,0.162,0.178,0.161,0.19,0.189,0.195
12,0.167,0.134,0.088,0.066,0.066,0.104,0.159,0.178,0.161,0.189,0.189,0.195
13,0.169,0.133,0.088,0.065,0.061,0.094,0.155,0.176,0.161,0.19,0.189,0.195
14,0.17,0.134,0.088,0.064,0.06,0.084,0.151,0.175,0.161,0.191,0.19,0.195
15,0.171,0.134,0.088,0.064,0.059,0.077,0.146,0.174,0.161,0.19,0.19,0.196
